Epochs: 1170/100000 | Avg reward: -117.672475 | Best reward: -90.726626
Epochs: 1180/100000 | Avg reward: -95.943697 | Best reward: -90.726626
Epochs: 1190/100000 | Avg reward: -93.011772 | Best reward: -90.726626
Epochs: 1200/100000 | Avg reward: -96.581182 | Best reward: -90.726626
Epochs: 1210/100000 | Avg reward: -123.935927 | Best reward: -90.726626
Epochs: 1220/100000 | Avg reward: -116.819884 | Best reward: -90.726626
Epochs: 1230/100000 | Avg reward: -104.258220 | Best reward: -90.726626
Epochs: 1240/100000 | Avg reward: -133.510091 | Best reward: -90.726626
Epochs: 1250/100000 | Avg reward: -107.722354 | Best reward: -90.726626
Epochs: 1260/100000 | Avg reward: -107.055334 | Best reward: -90.726626
Epochs: 1270/100000 | Avg reward: -123.644663 | Best reward: -90.726626
Epochs: 1280/100000 | Avg reward: -107.582715 | Best reward: -90.726626
Epochs: 1290/100000 | Avg reward: -92.542279 | Best reward: -87.206866
Epochs: 1300/100000 | Avg reward: -108.812699 | Best reward: -87.206866
Epochs: 1310/100000 | Avg reward: -129.445160 | Best reward: -87.206866
Epochs: 1320/100000 | Avg reward: -172.479294 | Best reward: -87.206866
Epochs: 1330/100000 | Avg reward: -141.948422 | Best reward: -87.206866
Epochs: 1340/100000 | Avg reward: -122.993996 | Best reward: -87.206866
Epochs: 1350/100000 | Avg reward: -116.932686 | Best reward: -87.206866
Epochs: 1360/100000 | Avg reward: -89.452692 | Best reward: -87.206866
Epochs: 1370/100000 | Avg reward: -93.032408 | Best reward: -86.846277
Epochs: 1380/100000 | Avg reward: -124.816731 | Best reward: -86.846277
Epochs: 1390/100000 | Avg reward: -148.328900 | Best reward: -86.846277
Epochs: 1400/100000 | Avg reward: -120.291819 | Best reward: -86.846277
Epochs: 1410/100000 | Avg reward: -100.212206 | Best reward: -86.846277
Epochs: 1420/100000 | Avg reward: -87.485089 | Best reward: -78.209625
Epochs: 1430/100000 | Avg reward: -99.832481 | Best reward: -78.209625
Epochs: 1440/100000 | Avg reward: -96.561925 | Best reward: -78.209625
Epochs: 1450/100000 | Avg reward: -105.073806 | Best reward: -78.209625
Epochs: 1460/100000 | Avg reward: -95.698884 | Best reward: -78.209625
Epochs: 1470/100000 | Avg reward: -89.909559 | Best reward: -78.209625
Epochs: 1480/100000 | Avg reward: -85.099785 | Best reward: -78.209625
Epochs: 1490/100000 | Avg reward: -97.609428 | Best reward: -78.209625
Epochs: 1500/100000 | Avg reward: -137.662618 | Best reward: -78.209625
Epochs: 1510/100000 | Avg reward: -104.776644 | Best reward: -78.209625
Epochs: 1520/100000 | Avg reward: -96.934287 | Best reward: -78.209625
Epochs: 1530/100000 | Avg reward: -95.058139 | Best reward: -78.209625
Epochs: 1540/100000 | Avg reward: -83.776364 | Best reward: -78.209625
Epochs: 1550/100000 | Avg reward: -94.823305 | Best reward: -71.218242
Epochs: 1560/100000 | Avg reward: -131.346355 | Best reward: -71.218242
Epochs: 1570/100000 | Avg reward: -126.395285 | Best reward: -71.218242
Epochs: 1580/100000 | Avg reward: -94.108886 | Best reward: -71.218242
Epochs: 1590/100000 | Avg reward: -123.742794 | Best reward: -71.218242
Epochs: 1600/100000 | Avg reward: -109.475437 | Best reward: -71.218242
Epochs: 1610/100000 | Avg reward: -88.674420 | Best reward: -71.218242
Epochs: 1620/100000 | Avg reward: -89.185689 | Best reward: -71.218242
Epochs: 1630/100000 | Avg reward: -101.636756 | Best reward: -71.218242
Epochs: 1640/100000 | Avg reward: -76.225253 | Best reward: -67.896562
Epochs: 1650/100000 | Avg reward: -82.522063 | Best reward: -67.896562
Epochs: 1660/100000 | Avg reward: -90.116020 | Best reward: -67.896562
Epochs: 1670/100000 | Avg reward: -88.827916 | Best reward: -67.896562
Epochs: 1680/100000 | Avg reward: -91.776652 | Best reward: -67.896562
Epochs: 1690/100000 | Avg reward: -101.182537 | Best reward: -67.896562
Epochs: 1700/100000 | Avg reward: -100.004925 | Best reward: -67.896562
Epochs: 1710/100000 | Avg reward: -81.884937 | Best reward: -67.896562
Epochs: 1720/100000 | Avg reward: -95.915475 | Best reward: -67.896562
Epochs: 1730/100000 | Avg reward: -107.323186 | Best reward: -67.896562
Epochs: 1740/100000 | Avg reward: -98.849755 | Best reward: -67.896562
Epochs: 1750/100000 | Avg reward: -88.057319 | Best reward: -67.896562
Epochs: 1760/100000 | Avg reward: -100.405047 | Best reward: -67.896562
Epochs: 1770/100000 | Avg reward: -87.113900 | Best reward: -67.896562
Epochs: 1780/100000 | Avg reward: -82.776215 | Best reward: -67.896562
Epochs: 1790/100000 | Avg reward: -70.804247 | Best reward: -67.896562
Epochs: 1800/100000 | Avg reward: -83.532268 | Best reward: -67.896562
Epochs: 1810/100000 | Avg reward: -92.436787 | Best reward: -67.896562
Epochs: 1820/100000 | Avg reward: -147.292813 | Best reward: -67.896562
Epochs: 1830/100000 | Avg reward: -97.127709 | Best reward: -67.896562
Epochs: 1840/100000 | Avg reward: -111.861652 | Best reward: -67.896562
Epochs: 1850/100000 | Avg reward: -89.837098 | Best reward: -67.896562
Epochs: 1860/100000 | Avg reward: -89.456372 | Best reward: -67.896562
Epochs: 1870/100000 | Avg reward: -89.538666 | Best reward: -67.896562
Epochs: 1880/100000 | Avg reward: -90.596448 | Best reward: -67.896562
Epochs: 1890/100000 | Avg reward: -131.922721 | Best reward: -67.896562
Epochs: 1900/100000 | Avg reward: -95.421129 | Best reward: -67.896562
Epochs: 1910/100000 | Avg reward: -63.931470 | Best reward: -55.596865
Epochs: 1920/100000 | Avg reward: -92.034783 | Best reward: -55.596865
Epochs: 1930/100000 | Avg reward: -106.851740 | Best reward: -55.596865
Epochs: 1940/100000 | Avg reward: -74.730595 | Best reward: -55.596865
Epochs: 1950/100000 | Avg reward: -78.947897 | Best reward: -43.799983
Epochs: 1960/100000 | Avg reward: -67.609898 | Best reward: -43.799983
Epochs: 1970/100000 | Avg reward: -65.473036 | Best reward: -43.799983
Epochs: 1980/100000 | Avg reward: -88.772279 | Best reward: -43.799983
Epochs: 1990/100000 | Avg reward: -63.424821 | Best reward: -43.799983
Epochs: 2000/100000 | Avg reward: -60.029465 | Best reward: -43.799983
Epochs: 2010/100000 | Avg reward: -68.398049 | Best reward: -43.799983
Epochs: 2020/100000 | Avg reward: -73.762288 | Best reward: -43.799983
Epochs: 2030/100000 | Avg reward: -61.570466 | Best reward: -43.799983
Epochs: 2040/100000 | Avg reward: -83.507175 | Best reward: -43.799983
Epochs: 2050/100000 | Avg reward: -85.862194 | Best reward: -43.799983
Epochs: 2060/100000 | Avg reward: -77.893647 | Best reward: -43.799983
Epochs: 2070/100000 | Avg reward: -90.428873 | Best reward: -43.799983
Epochs: 2080/100000 | Avg reward: -155.548142 | Best reward: -43.799983
Epochs: 2090/100000 | Avg reward: -114.569902 | Best reward: -43.799983
Epochs: 2100/100000 | Avg reward: -91.517027 | Best reward: -43.799983
Epochs: 2110/100000 | Avg reward: -72.867657 | Best reward: -43.799983
Epochs: 2120/100000 | Avg reward: -67.005250 | Best reward: -43.799983
Epochs: 2130/100000 | Avg reward: -68.485999 | Best reward: -43.799983
Epochs: 2140/100000 | Avg reward: -65.334724 | Best reward: -43.799983
Epochs: 2150/100000 | Avg reward: -70.722447 | Best reward: -43.799983
Epochs: 2160/100000 | Avg reward: -69.451614 | Best reward: -43.799983
Epochs: 2170/100000 | Avg reward: -63.041651 | Best reward: -43.799983
Epochs: 2180/100000 | Avg reward: -78.054799 | Best reward: -43.799983
Epochs: 2190/100000 | Avg reward: -62.361375 | Best reward: -43.799983
Epochs: 2200/100000 | Avg reward: -61.880127 | Best reward: -43.799983
Epochs: 2210/100000 | Avg reward: -48.022199 | Best reward: -43.799983
Epochs: 2220/100000 | Avg reward: -50.269743 | Best reward: -43.799983
Epochs: 2230/100000 | Avg reward: -49.519350 | Best reward: -43.799983
Epochs: 2240/100000 | Avg reward: -53.752348 | Best reward: -33.992771
Epochs: 2250/100000 | Avg reward: -35.194272 | Best reward: -33.992771
Epochs: 2260/100000 | Avg reward: -54.688452 | Best reward: -32.857686
Epochs: 2270/100000 | Avg reward: -49.106541 | Best reward: -32.857686
Epochs: 2280/100000 | Avg reward: -61.818756 | Best reward: -31.543792
Epochs: 2290/100000 | Avg reward: -60.114495 | Best reward: -31.543792
Epochs: 2300/100000 | Avg reward: -46.580862 | Best reward: -31.543792
Epochs: 2310/100000 | Avg reward: -76.720582 | Best reward: -31.543792
Epochs: 2320/100000 | Avg reward: -57.185850 | Best reward: -31.543792
Epochs: 2330/100000 | Avg reward: -69.475213 | Best reward: -31.543792
Epochs: 2340/100000 | Avg reward: -72.481502 | Best reward: -31.543792
Epochs: 2350/100000 | Avg reward: -81.363555 | Best reward: -31.543792
Epochs: 2360/100000 | Avg reward: -76.461634 | Best reward: -31.543792
Epochs: 2370/100000 | Avg reward: -74.938987 | Best reward: -31.543792
Epochs: 2380/100000 | Avg reward: -64.153089 | Best reward: -31.543792
Epochs: 2390/100000 | Avg reward: -48.669095 | Best reward: -31.543792
Epochs: 2400/100000 | Avg reward: -71.821450 | Best reward: -31.543792
Epochs: 2410/100000 | Avg reward: -57.215453 | Best reward: -31.543792
Epochs: 2420/100000 | Avg reward: -48.287445 | Best reward: -31.543792
Epochs: 2430/100000 | Avg reward: -48.470472 | Best reward: -31.543792
Epochs: 2440/100000 | Avg reward: -40.731458 | Best reward: -31.543792
Epochs: 2450/100000 | Avg reward: -59.091502 | Best reward: -31.543792
Epochs: 2460/100000 | Avg reward: -52.614195 | Best reward: -31.543792
Epochs: 2470/100000 | Avg reward: -47.247162 | Best reward: -31.543792
Epochs: 2480/100000 | Avg reward: -40.098046 | Best reward: -31.543792
Epochs: 2490/100000 | Avg reward: -25.355120 | Best reward: -28.806317
Epochs: 2500/100000 | Avg reward: -40.305644 | Best reward: -25.355120
Epochs: 2510/100000 | Avg reward: -65.295475 | Best reward: -25.355120
Epochs: 2520/100000 | Avg reward: -65.042515 | Best reward: -25.355120
Epochs: 2530/100000 | Avg reward: -79.034740 | Best reward: -25.355120
Epochs: 2540/100000 | Avg reward: -81.071906 | Best reward: -25.355120
Epochs: 2550/100000 | Avg reward: -51.288897 | Best reward: -25.355120
Epochs: 2560/100000 | Avg reward: -36.566798 | Best reward: -25.355120
Epochs: 2570/100000 | Avg reward: -61.596249 | Best reward: -25.355120
Epochs: 2580/100000 | Avg reward: -63.590512 | Best reward: -25.355120
Epochs: 2590/100000 | Avg reward: -82.210540 | Best reward: -25.355120
Epochs: 2600/100000 | Avg reward: -34.871051 | Best reward: -25.355120
Epochs: 2610/100000 | Avg reward: -44.273851 | Best reward: -16.022985
Epochs: 2620/100000 | Avg reward: -35.842652 | Best reward: -16.022985
Epochs: 2630/100000 | Avg reward: -54.211324 | Best reward: -16.022985
Epochs: 2640/100000 | Avg reward: -24.038984 | Best reward: -16.022985
Epochs: 2650/100000 | Avg reward: -28.853505 | Best reward: -16.022985
Epochs: 2660/100000 | Avg reward: -32.475162 | Best reward: -16.022985
Epochs: 2670/100000 | Avg reward: -48.108493 | Best reward: -16.022985
Epochs: 2680/100000 | Avg reward: -35.627260 | Best reward: -16.022985
Epochs: 2690/100000 | Avg reward: -80.317667 | Best reward: -16.022985
Epochs: 2700/100000 | Avg reward: -28.570999 | Best reward: -16.022985
Epochs: 2710/100000 | Avg reward: -50.266546 | Best reward: -16.022985
Epochs: 2720/100000 | Avg reward: -51.825085 | Best reward: -16.022985
Epochs: 2730/100000 | Avg reward: -79.341532 | Best reward: -16.022985
Epochs: 2740/100000 | Avg reward: -47.990282 | Best reward: -16.022985
Epochs: 2750/100000 | Avg reward: -36.139089 | Best reward: -16.022985
Epochs: 2760/100000 | Avg reward: -70.311842 | Best reward: -16.022985
Epochs: 2770/100000 | Avg reward: -45.656018 | Best reward: -16.022985
Epochs: 2780/100000 | Avg reward: -68.846689 | Best reward: -16.022985
Epochs: 2790/100000 | Avg reward: -66.592676 | Best reward: -16.022985
Epochs: 2800/100000 | Avg reward: -44.763212 | Best reward: -16.022985
Epochs: 2810/100000 | Avg reward: -76.770585 | Best reward: -16.022985
Epochs: 2820/100000 | Avg reward: -36.173286 | Best reward: -16.022985
Epochs: 2830/100000 | Avg reward: -35.193611 | Best reward: -16.022985
Epochs: 2840/100000 | Avg reward: -8.673939 | Best reward: -7.678526
Epochs: 2850/100000 | Avg reward: -22.187990 | Best reward: -6.032583
Epochs: 2860/100000 | Avg reward: -44.037090 | Best reward: -6.032583
Epochs: 2870/100000 | Avg reward: -50.979385 | Best reward: -6.032583
Epochs: 2880/100000 | Avg reward: -45.253755 | Best reward: -6.032583
Epochs: 2890/100000 | Avg reward: -64.679417 | Best reward: -6.032583
Epochs: 2900/100000 | Avg reward: -32.767009 | Best reward: -6.032583
Epochs: 2910/100000 | Avg reward: -42.255273 | Best reward: -6.032583
Epochs: 2920/100000 | Avg reward: -43.092249 | Best reward: -6.032583
Epochs: 2930/100000 | Avg reward: -40.695761 | Best reward: -6.032583
Epochs: 2940/100000 | Avg reward: -30.395294 | Best reward: -6.032583
Epochs: 2950/100000 | Avg reward: -33.831771 | Best reward: -6.032583
Epochs: 2960/100000 | Avg reward: -35.210607 | Best reward: -6.032583
Epochs: 2970/100000 | Avg reward: -25.524798 | Best reward: -6.032583
