Episode: 860 | Steps: 1961167/10000000 | Avg reward: 27.200000 | loss: 0.179485 | Best: 37.200000
Episode: 870 | Steps: 1982589/10000000 | Avg reward: 28.400000 | loss: 0.079119 | Best: 37.200000
Episode: 880 | Steps: 2003109/10000000 | Avg reward: 34.300000 | loss: 0.497541 | Best: 37.200000
Episode: 890 | Steps: 2024839/10000000 | Avg reward: 21.500000 | loss: 0.095646 | Best: 37.200000
Episode: 900 | Steps: 2045068/10000000 | Avg reward: 29.700000 | loss: 0.343735 | Best: 37.200000
Episode: 910 | Steps: 2066202/10000000 | Avg reward: 28.000000 | loss: 0.040436 | Best: 37.200000
Episode: 920 | Steps: 2088227/10000000 | Avg reward: 28.100000 | loss: 0.087875 | Best: 37.200000
Episode: 930 | Steps: 2109466/10000000 | Avg reward: 29.800000 | loss: 0.063523 | Best: 37.200000
Episode: 940 | Steps: 2132411/10000000 | Avg reward: 17.700000 | loss: 0.061430 | Best: 37.200000
Episode: 950 | Steps: 2153029/10000000 | Avg reward: 29.500000 | loss: 0.065229 | Best: 37.200000
Episode: 960 | Steps: 2175070/10000000 | Avg reward: 25.700000 | loss: 0.064392 | Best: 37.200000
Episode: 970 | Steps: 2197518/10000000 | Avg reward: 19.200000 | loss: 0.069168 | Best: 37.200000
Episode: 980 | Steps: 2220720/10000000 | Avg reward: 23.200000 | loss: 0.063462 | Best: 37.200000
Episode: 990 | Steps: 2242275/10000000 | Avg reward: 25.600000 | loss: 0.041212 | Best: 37.200000
Episode: 1000 | Steps: 2265269/10000000 | Avg reward: 18.800000 | loss: 0.026348 | Best: 37.200000
Episode: 1010 | Steps: 2287241/10000000 | Avg reward: 26.900000 | loss: 0.050950 | Best: 37.200000
Episode: 1020 | Steps: 2309355/10000000 | Avg reward: 28.600000 | loss: 0.019877 | Best: 37.200000
Episode: 1030 | Steps: 2332231/10000000 | Avg reward: 20.000000 | loss: 0.074681 | Best: 37.200000
Episode: 1040 | Steps: 2354663/10000000 | Avg reward: 27.500000 | loss: 0.066520 | Best: 37.200000
Episode: 1050 | Steps: 2376816/10000000 | Avg reward: 28.500000 | loss: 0.101395 | Best: 37.200000
Episode: 1060 | Steps: 2398438/10000000 | Avg reward: 33.500000 | loss: 0.158197 | Best: 37.200000
Episode: 1070 | Steps: 2421021/10000000 | Avg reward: 20.200000 | loss: 0.160240 | Best: 37.200000
Episode: 1080 | Steps: 2444003/10000000 | Avg reward: 19.000000 | loss: 0.060444 | Best: 37.200000
Episode: 1090 | Steps: 2466440/10000000 | Avg reward: 18.700000 | loss: 0.067381 | Best: 37.200000
Episode: 1100 | Steps: 2487184/10000000 | Avg reward: 27.100000 | loss: 0.093101 | Best: 37.200000
Episode: 1110 | Steps: 2507312/10000000 | Avg reward: 33.700000 | loss: 0.059932 | Best: 37.200000
Episode: 1120 | Steps: 2527499/10000000 | Avg reward: 30.500000 | loss: 0.107311 | Best: 37.200000
Episode: 1130 | Steps: 2546208/10000000 | Avg reward: 35.200000 | loss: 0.042025 | Best: 37.200000
Episode: 1140 | Steps: 2568215/10000000 | Avg reward: 23.000000 | loss: 0.160892 | Best: 37.200000
Episode: 1150 | Steps: 2589290/10000000 | Avg reward: 25.500000 | loss: 0.103400 | Best: 37.200000
Episode: 1160 | Steps: 2610200/10000000 | Avg reward: 30.100000 | loss: 0.107171 | Best: 37.200000
Episode: 1170 | Steps: 2631863/10000000 | Avg reward: 22.600000 | loss: 0.064450 | Best: 37.200000
Episode: 1180 | Steps: 2654362/10000000 | Avg reward: 21.700000 | loss: 0.039868 | Best: 37.200000
Episode: 1190 | Steps: 2676030/10000000 | Avg reward: 22.300000 | loss: 0.129860 | Best: 37.200000
Episode: 1200 | Steps: 2696678/10000000 | Avg reward: 28.900000 | loss: 0.097881 | Best: 37.200000
Episode: 1210 | Steps: 2715887/10000000 | Avg reward: 28.900000 | loss: 0.050704 | Best: 37.200000
Episode: 1220 | Steps: 2736473/10000000 | Avg reward: 24.100000 | loss: 0.175341 | Best: 37.200000
Episode: 1230 | Steps: 2757167/10000000 | Avg reward: 27.000000 | loss: 0.074409 | Best: 37.200000
Episode: 1240 | Steps: 2777726/10000000 | Avg reward: 32.800000 | loss: 0.104246 | Best: 37.200000
Episode: 1250 | Steps: 2799128/10000000 | Avg reward: 28.500000 | loss: 0.109523 | Best: 37.200000
Episode: 1260 | Steps: 2819503/10000000 | Avg reward: 31.400000 | loss: 0.084135 | Best: 37.200000
Episode: 1270 | Steps: 2843048/10000000 | Avg reward: 20.500000 | loss: 0.051105 | Best: 37.200000
Episode: 1280 | Steps: 2865858/10000000 | Avg reward: 23.900000 | loss: 0.039221 | Best: 37.200000
Episode: 1290 | Steps: 2886607/10000000 | Avg reward: 30.400000 | loss: 0.097486 | Best: 37.200000
Episode: 1300 | Steps: 2910258/10000000 | Avg reward: 21.000000 | loss: 0.101717 | Best: 37.200000
Episode: 1310 | Steps: 2932888/10000000 | Avg reward: 23.500000 | loss: 0.154019 | Best: 37.200000
Episode: 1320 | Steps: 2955625/10000000 | Avg reward: 24.800000 | loss: 0.106984 | Best: 37.200000
Episode: 1330 | Steps: 2976379/10000000 | Avg reward: 30.600000 | loss: 0.063073 | Best: 37.200000
Episode: 1340 | Steps: 2997262/10000000 | Avg reward: 32.700000 | loss: 0.112306 | Best: 37.200000
Episode: 1350 | Steps: 3016465/10000000 | Avg reward: 29.500000 | loss: 0.233498 | Best: 37.200000
Episode: 1360 | Steps: 3038838/10000000 | Avg reward: 26.300000 | loss: 0.135309 | Best: 37.200000
Episode: 1370 | Steps: 3059545/10000000 | Avg reward: 34.400000 | loss: 0.157355 | Best: 37.200000
Episode: 1380 | Steps: 3080293/10000000 | Avg reward: 24.400000 | loss: 0.091235 | Best: 37.200000
Episode: 1390 | Steps: 3098835/10000000 | Avg reward: 30.600000 | loss: 0.060568 | Best: 37.200000
Episode: 1400 | Steps: 3120785/10000000 | Avg reward: 30.900000 | loss: 0.063798 | Best: 37.200000
Episode: 1410 | Steps: 3143661/10000000 | Avg reward: 24.600000 | loss: 0.055033 | Best: 37.200000
Episode: 1420 | Steps: 3164837/10000000 | Avg reward: 33.100000 | loss: 0.059334 | Best: 37.200000
Episode: 1430 | Steps: 3187000/10000000 | Avg reward: 32.900000 | loss: 0.313004 | Best: 37.200000
Episode: 1440 | Steps: 3206826/10000000 | Avg reward: 30.500000 | loss: 0.101277 | Best: 37.200000
Episode: 1450 | Steps: 3227667/10000000 | Avg reward: 32.100000 | loss: 0.071191 | Best: 37.200000
Episode: 1460 | Steps: 3246551/10000000 | Avg reward: 37.500000 | loss: 0.169399 | Best: 37.200000
Episode: 1470 | Steps: 3264254/10000000 | Avg reward: 38.900000 | loss: 0.048314 | Best: 37.500000
Episode: 1480 | Steps: 3283372/10000000 | Avg reward: 29.400000 | loss: 0.133990 | Best: 38.900000
Episode: 1490 | Steps: 3302437/10000000 | Avg reward: 25.800000 | loss: 0.083783 | Best: 38.900000
Episode: 1500 | Steps: 3324787/10000000 | Avg reward: 18.600000 | loss: 0.178494 | Best: 38.900000
Episode: 1510 | Steps: 3346162/10000000 | Avg reward: 28.300000 | loss: 0.219798 | Best: 38.900000
Episode: 1520 | Steps: 3368317/10000000 | Avg reward: 31.300000 | loss: 0.087262 | Best: 38.900000
Episode: 1530 | Steps: 3390539/10000000 | Avg reward: 23.600000 | loss: 0.049745 | Best: 38.900000
Episode: 1540 | Steps: 3412774/10000000 | Avg reward: 27.500000 | loss: 0.153459 | Best: 38.900000
Episode: 1550 | Steps: 3434814/10000000 | Avg reward: 17.900000 | loss: 0.090375 | Best: 38.900000
Episode: 1560 | Steps: 3455858/10000000 | Avg reward: 26.000000 | loss: 0.064843 | Best: 38.900000
Episode: 1570 | Steps: 3476655/10000000 | Avg reward: 31.700000 | loss: 0.146559 | Best: 38.900000
Episode: 1580 | Steps: 3496654/10000000 | Avg reward: 34.500000 | loss: 0.042333 | Best: 38.900000
Episode: 1590 | Steps: 3517608/10000000 | Avg reward: 24.600000 | loss: 0.038893 | Best: 38.900000
Episode: 1600 | Steps: 3538982/10000000 | Avg reward: 33.200000 | loss: 0.214693 | Best: 38.900000
Episode: 1610 | Steps: 3558270/10000000 | Avg reward: 35.800000 | loss: 0.183847 | Best: 38.900000
Episode: 1620 | Steps: 3577871/10000000 | Avg reward: 35.900000 | loss: 0.176667 | Best: 38.900000
Episode: 1630 | Steps: 3595043/10000000 | Avg reward: 48.500000 | loss: 0.125690 | Best: 38.900000
Episode: 1640 | Steps: 3614097/10000000 | Avg reward: 38.800000 | loss: 0.138300 | Best: 48.500000
Episode: 1650 | Steps: 3634854/10000000 | Avg reward: 30.200000 | loss: 0.340598 | Best: 48.500000
Episode: 1660 | Steps: 3653176/10000000 | Avg reward: 39.000000 | loss: 0.153383 | Best: 48.500000
